projectid,plotid,naam,bzdid,datum,begintijd,eindtijd,bezoekduur,aantal_minuten,gunstig,omst_opm,opm,waarnemerid,jaar,doy,nsoort,nrecord
252,27443,Grote Plas OVP,4102903,07-May,18:36:00,22:14:00,03:38:00,218,,,"wind aan begin hard tegen eind matig, waarneemkans negatief beïnvloed, wegtrekkende bewolking",21844,2025,127,17,54
252,27443,Grote Plas OVP,4102904,09-May,06:17:00,09:04:00,02:47:00,167,,,"wind zwak, helder",21844,2025,129,24,101
252,27443,Grote Plas OVP,4107951,21-May,05:49:00,08:40:00,02:51:00,171,,,"wind matig tot krachtig, grotendeels helder, korte tijd sluierbewolking",21844,2025,141,22,105
252,27443,Grote Plas OVP,4116811,11-Jun,19:15:00,22:10:00,02:55:00,175,,,"wind matig afnemend naar zwak, heldere lucht",21844,2025,162,17,92
252,28568,AWD Zeeveld noord,4083247,01-Apr,07:42:00,09:50:00,02:08:00,128,,,,26340,2025,91,11,38
252,28568,AWD Zeeveld noord,4088576,11-Apr,07:11:00,09:13:00,02:02:00,122,,,,26340,2025,101,14,49
252,28568,AWD Zeeveld noord,4095623,25-Apr,07:19:00,09:17:00,01:58:00,118,,,,26340,2025,115,17,49
252,28568,AWD Zeeveld noord,4103692,09-May,07:55:00,10:31:00,02:36:00,156,,,,26340,2025,129,15,49
252,28568,AWD Zeeveld noord,4107909,21-May,23:39:00,23:50:00,00:11:00,11,,,niets gezien,26340,2025,141,0,1
252,31748,AWD 2e Infiltr-zuid,4076049,05-Mar,07:30:00,10:30:00,03:00:00,180,,,"WEER: Zon, enige sluierbewolking | TEMP: Nachtvorst, 3 graden oplopend naar 8 graden | WIND: ZW 2BFT aantrekkend naar ZW 4BFT",40186,2025,64,30,118
252,31748,AWD 2e Infiltr-zuid,4079105,20-Mar,06:40:00,09:50:00,03:10:00,190,,,"WEER: optrekkende nevel, zon | TEMP: 3 oplopend naar 13 graden | WIND: 2BFT zuid",40186,2025,79,31,200
252,31748,AWD 2e Infiltr-zuid,4083280,02-Apr,07:00:00,10:10:00,03:10:00,190,TRUE,,WEER: zon | TEMP: 4 > 12 graden | WIND: 4BFT NO,40186,2025,92,31,175
252,31748,AWD 2e Infiltr-zuid,4086954,09-Apr,06:30:00,10:30:00,04:00:00,240,TRUE,,WEER: half bewolkt | TEMP: 5 > 10 graden | WIND: 2-3BFT N,40186,2025,99,43,204
252,31748,AWD 2e Infiltr-zuid,4093180,22-Apr,06:15:00,10:45:00,04:30:00,270,FALSE,"Fris, meteen vanaf zonsopkomst ging de wind aan (4 BFT ZW). Stuk harder dan oorspronkelijk dag eerder voorspeld.",WEER: geheel bewolkt | TEMP: 9 > 12 graden | WIND: 4BFT ZW,40186,2025,112,41,275
252,31748,AWD 2e Infiltr-zuid,4099357,03-May,05:30:00,10:30:00,05:00:00,300,TRUE,,WEER: zon | TEMP: 8 > 15 graden | WIND: 1-2BFT NO,40186,2025,123,36,247
252,31748,AWD 2e Infiltr-zuid,4104300,13-May,05:10:00,10:20:00,05:10:00,310,TRUE,,WEER: zon | TEMP: 8 > 15 graden | WIND: 2-3BFT NO,40186,2025,133,38,215
252,31748,AWD 2e Infiltr-zuid,4106786,19-May,05:05:00,09:30:00,04:25:00,265,TRUE,,WEER: zon | TEMP: 8 > 17 graden | WIND: 1-3BFT N,40186,2025,139,39,241
252,31748,AWD 2e Infiltr-zuid,4116442,11-Jun,05:15:00,09:45:00,04:30:00,270,,,,40186,2025,162,39,284
252,31748,AWD 2e Infiltr-zuid,4117416,13-Jun,21:00:00,23:30:00,02:30:00,150,,,,40186,2025,164,29,64
252,32459,"Loenderveen, Waterleidingplas",4080152,23-Mar,06:02:00,08:31:00,02:29:00,149,TRUE,,,18426,2025,82,22,110
252,32459,"Loenderveen, Waterleidingplas",4080183,23-Mar,06:04:00,08:28:00,02:24:00,144,TRUE,,,20695,2025,82,15,45
252,32459,"Loenderveen, Waterleidingplas",4085371,06-Apr,06:03:00,08:02:00,01:59:00,119,TRUE,,,23406,2025,96,21,99
252,32459,"Loenderveen, Waterleidingplas",4085381,06-Apr,06:03:00,07:00:00,00:57:00,57,TRUE,,,18426,2025,96,15,42
252,32459,"Loenderveen, Waterleidingplas",4092310,20-Apr,05:38:00,07:57:00,02:19:00,139,TRUE,,,23406,2025,110,22,104
252,32459,"Loenderveen, Waterleidingplas",4092323,20-Apr,08:01:00,08:21:00,00:20:00,20,TRUE,,,23406,2025,110,1,1
252,32459,"Loenderveen, Waterleidingplas",4092387,20-Apr,05:32:00,08:12:00,02:40:00,160,TRUE,,Ronde gelopen met Anco Driessen,20695,2025,110,22,178
252,32459,"Loenderveen, Waterleidingplas",4098591,01-May,21:56:00,23:18:00,01:22:00,82,TRUE,,,23406,2025,121,1,1
252,32459,"Loenderveen, Waterleidingplas",4099663,04-May,05:13:00,07:24:00,02:11:00,131,TRUE,,,23406,2025,124,25,162
252,32459,"Loenderveen, Waterleidingplas",4099666,04-May,05:02:00,07:20:00,02:18:00,138,TRUE,,,20384,2025,124,16,56
252,32459,"Loenderveen, Waterleidingplas",4106494,18-May,05:05:00,07:28:00,02:23:00,143,,,,25701,2025,138,34,216
252,32459,"Loenderveen, Waterleidingplas",4106530,18-May,05:05:00,06:34:00,01:29:00,89,TRUE,,,23470,2025,138,17,64
252,32459,"Loenderveen, Waterleidingplas",4111941,01-Jun,06:04:00,10:09:00,04:05:00,245,TRUE,,,23406,2025,152,33,240
252,32459,"Loenderveen, Waterleidingplas",4121943,29-Jun,06:10:00,07:53:00,01:43:45,103.75,,,,18426,2025,180,16,117
252,32459,"Loenderveen, Waterleidingplas",4122000,29-Jun,06:05:00,08:25:00,02:20:00,140,TRUE,,,20695,2025,180,16,41
252,39540,Plot 6b: Rustgebied Reemsterbos,4077077,10-Mar,09:06:00,11:55:00,02:49:45,169.75,,,"zon, bij einde 9 graden, wind 2 Bf mooi tel weer.",18126,2025,69,21,64
252,39540,Plot 6b: Rustgebied Reemsterbos,4077201,11-Mar,09:04:00,11:12:00,02:08:00,128,,,"start 5 einde 7 graden, flink bewolkt. geen neerslag. wind begin 2BF later tot 3.",18126,2025,70,21,59
252,39540,Plot 6b: Rustgebied Reemsterbos,4079630,21-Mar,09:06:00,13:31:00,04:24:44,264.7333333,,,,18126,2025,80,24,107
252,39540,Plot 6b: Rustgebied Reemsterbos,4082907,01-Apr,08:08:00,11:24:00,03:16:12,196.2,,,start 2 einde 10 htaden. tot 9.30 uur beangstgend dtil in het bos. wind 2 tot 3 bf. bij dtart klrin beetje mist en wat bewolkt. aan einde onbewolkt,18126,2025,91,19,54
252,39540,Plot 6b: Rustgebied Reemsterbos,4083252,02-Apr,08:12:00,10:06:00,01:53:43,113.7166667,,,"start 6, einde 9 graden, geen wolken, wind 2-3 Bf.",18126,2025,92,19,58
252,39540,Plot 6b: Rustgebied Reemsterbos,4092450,20-Apr,08:08:00,10:10:00,02:01:33,121.55,,,"zon, vrijwel geen wind, bij einde 10 graden",18126,2025,110,24,77
252,39540,Plot 6b: Rustgebied Reemsterbos,4092451,12-Apr,08:06:00,09:52:00,01:46:07,106.1166667,,,"zon, start 9 einde 13 graden. gern eolken, vrijwel gern wind",18126,2025,102,17,57
252,39540,Plot 6b: Rustgebied Reemsterbos,4097486,29-Apr,15:46:00,15:50:00,00:03:48,3.8,,,deel stukje,18126,2025,119,1,2
252,39540,Plot 6b: Rustgebied Reemsterbos,4098261,01-May,08:09:00,11:07:00,02:57:27,177.45,,,"zon, start 12 graden en einde 22, nauwelijks wind",18126,2025,121,22,85
252,39540,Plot 6b: Rustgebied Reemsterbos,4098838,02-May,08:09:00,11:01:00,02:51:54,171.9,,,"start 14 graden eine 22. zonnig met sluierbewolking, vrijwrl geen wind, 1 Bf.",18126,2025,122,22,85
252,39540,Plot 6b: Rustgebied Reemsterbos,4104956,14-May,08:06:00,10:21:00,02:14:12,134.2,,,"licht beeolkt, einde 16 graden, beetje wind",18126,2025,134,23,56
252,39540,Plot 6b: Rustgebied Reemsterbos,4105363,15-May,08:21:00,11:09:00,02:48:13,168.2166667,,,"bij dtart 12 en einde 16 graden. begin wolken later vooral zon, vrijwel geen wind.",18126,2025,135,19,88
252,39540,Plot 6b: Rustgebied Reemsterbos,4110477,29-May,06:31:00,08:51:00,02:20:18,140.3,,,"samen met Cobi, geen Sovon code start 7 einde 11 graden met vrijwel gern wind en over slgemeen bewolkt",18126,2025,149,29,79
252,39540,Plot 6b: Rustgebied Reemsterbos,4111038,30-May,08:15:00,11:18:00,03:02:54,182.9,,,"soms zon, start 16 einde 19 graden. wind vooral noven in bomen. aangenaam telweer.",18126,2025,150,28,92
252,39540,Plot 6b: Rustgebied Reemsterbos,4112484,02-Jun,08:30:00,08:34:00,00:04:02,4.033333333,,,,18126,2025,153,1,1
252,39540,Plot 6b: Rustgebied Reemsterbos,4113555,03-Jun,20:59:00,21:03:00,00:03:58,3.966666667,,,waarneming in plot,18126,2025,154,1,1
252,39540,Plot 6b: Rustgebied Reemsterbos,4116288,10-Jun,20:58:00,21:07:00,00:08:26,8.433333333,,,extra,18126,2025,161,2,2
252,39540,Plot 6b: Rustgebied Reemsterbos,4116970,12-Jun,12:33:00,12:39:00,00:05:16,5.266666667,,,deeltelling,18126,2025,163,2,2
252,39540,Plot 6b: Rustgebied Reemsterbos,4118024,16-Jun,08:19:00,12:23:00,04:03:58,243.9666667,,,geen alg soorten opgeschreven. veel jonge vogels,18126,2025,167,19,39
252,39540,Plot 6b: Rustgebied Reemsterbos,4118313,17-Jun,08:14:00,10:46:00,02:31:56,151.9333333,,,alleen de opvallende waarnemingen opgeschreven,18126,2025,168,13,21
252,39540,Plot 6b: Rustgebied Reemsterbos,4118569,17-Jun,23:56:00,23:57:00,00:00:58,0.966666667,,,,18126,2025,168,1,1
252,39540,Plot 6b: Rustgebied Reemsterbos,4120736,24-Jun,20:59:00,21:02:00,00:02:36,2.6,,,extra waarneming,18126,2025,175,1,1
252,39540,Plot 6b: Rustgebied Reemsterbos,4121765,28-Jun,08:14:00,12:53:00,04:38:41,278.6833333,,,"zonnig met eolken. asn einde meer eolken, wind 3Bf, start 21 einde 24 graden. niet alles opgeschreven. wel soorten, bijzondere en boven de broedcode 2.",18126,2025,179,26,68
252,39566,"De Onlanden, P6, Weringsbroeken-west",4076233,06-Mar,10:20:00,10:44:00,00:24:00,24,,,,24098,2025,65,1,1
252,39566,"De Onlanden, P6, Weringsbroeken-west",4079256,07-Mar,10:55:00,11:36:00,00:40:39,40.65,,,,24098,2025,66,5,9
252,39566,"De Onlanden, P6, Weringsbroeken-west",4079469,21-Mar,06:29:00,09:32:00,03:02:58,182.9666667,,,,24098,2025,80,10,32
252,39566,"De Onlanden, P6, Weringsbroeken-west",4082908,01-Apr,06:41:00,10:11:00,03:29:28,209.4666667,,,,24098,2025,91,17,55
252,39566,"De Onlanden, P6, Weringsbroeken-west",4089507,14-Apr,06:14:00,09:36:00,03:21:29,201.4833333,,,,24098,2025,104,15,67
252,39566,"De Onlanden, P6, Weringsbroeken-west",4096018,26-Apr,05:45:00,10:29:00,04:44:00,284,,,Mist,25983,2025,116,27,108
252,39566,"De Onlanden, P6, Weringsbroeken-west",4101947,08-May,05:57:00,09:23:00,03:25:30,205.5,,,,24098,2025,128,25,78
252,39566,"De Onlanden, P6, Weringsbroeken-west",4106539,18-May,05:17:00,09:09:00,03:51:50,231.8333333,,,,24098,2025,138,25,81
252,39566,"De Onlanden, P6, Weringsbroeken-west",4111229,30-May,21:01:00,21:54:00,00:53:08,53.13333333,,,,24098,2025,150,4,10
252,39566,"De Onlanden, P6, Weringsbroeken-west",4111683,31-May,22:57:00,23:15:00,00:18:18,18.3,,,,24098,2025,151,3,3
252,39566,"De Onlanden, P6, Weringsbroeken-west",4118267,17-Jun,04:45:00,07:33:00,02:47:52,167.8666667,,,,24098,2025,168,13,56
252,60201,OVP: Romijns Diep Noord,4089947,15-Apr,07:55:00,09:33:00,01:38:00,98,,,,32320,2025,105,29,82
252,60201,OVP: Romijns Diep Noord,4097619,29-Apr,20:09:00,23:06:00,02:57:00,177,,,,32320,2025,119,10,23
252,60201,OVP: Romijns Diep Noord,4097815,30-Apr,07:46:00,10:28:00,02:42:00,162,,,,32320,2025,120,21,52
252,60201,OVP: Romijns Diep Noord,4101700,07-May,20:13:00,23:00:00,02:47:00,167,,,"suboptimale omstandigheden,  zie RD Zuid",32320,2025,127,10,13
252,60201,OVP: Romijns Diep Noord,4101853,08-May,07:34:00,10:01:00,02:27:00,147,,,,32320,2025,128,24,46
252,60201,OVP: Romijns Diep Noord,4107666,21-May,07:15:00,10:31:00,03:16:00,196,,,"14c, 3bft, 2/8 bewolkt",32320,2025,141,13,23
252,60201,OVP: Romijns Diep Noord,4116679,11-Jun,21:01:00,21:49:00,00:48:00,48,,,Vroegtijdig moeten beëindigen ivm lage waterstand,32320,2025,162,10,12
252,64770,Luchter Zeeduinen Noord,4077749,14-Mar,07:05:00,09:51:00,02:46:00,166,,,"4graden, zo2, 1/8, droog",24903,2025,73,14,96
252,64770,Luchter Zeeduinen Noord,4083225,02-Apr,06:45:00,09:41:00,02:56:00,176,,,"0/8, 5-10 graden, zo 3",24903,2025,92,20,108
252,64770,Luchter Zeeduinen Noord,4091463,18-Apr,06:29:00,08:53:00,02:24:00,144,,,"10gr, 7/8, zo1",24903,2025,108,18,157
252,64770,Luchter Zeeduinen Noord,4097796,30-Apr,06:58:00,10:11:00,03:13:00,193,,,"12gr, 0/8, o2",24903,2025,120,23,184
252,64770,Luchter Zeeduinen Noord,4105356,15-May,05:44:00,10:26:00,04:42:00,282,FALSE,Veel wind uit het noorden,"Veel noordenwind, maakte inventariseren lastig. Ca. 10 gr.",25462,2025,135,18,101
252,64770,Luchter Zeeduinen Noord,4112586,02-Jun,05:51:00,10:31:00,04:40:00,280,TRUE,,"Bewolkt, zwakke zw wind. Ca. 14 tot 17 graden.",25462,2025,153,15,91
252,67176,Drempel-Oostvaardersdijk,4089852,14-Apr,18:15:00,22:06:00,03:51:00,231,,,,32320,2025,104,30,211
252,67176,Drempel-Oostvaardersdijk,4097122,28-Apr,18:45:00,22:16:00,03:31:00,211,,,Later begonnen ivm veranderen gebieden,32320,2025,118,30,176
252,67176,Drempel-Oostvaardersdijk,4097255,29-Apr,06:29:00,09:49:00,03:20:00,200,,,Iets latere start ivm sleutel hek,32320,2025,119,29,170
252,67176,Drempel-Oostvaardersdijk,4102248,08-May,18:41:00,22:16:00,03:35:00,215,,,"optimaal. 2 bft no, 1/8 bewolkt, 14c",32320,2025,128,23,125
252,67176,Drempel-Oostvaardersdijk,4102319,09-May,05:55:00,08:18:00,02:23:00,143,,,,32320,2025,129,27,156
252,67176,Drempel-Oostvaardersdijk,4107462,20-May,19:09:00,22:23:00,03:14:00,194,,,"13c, 3bft, 1/8 bewolkt",32320,2025,140,29,121
252,67176,Drempel-Oostvaardersdijk,4116853,12-Jun,05:15:00,08:04:00,02:49:00,169,,,"14c, no3, 1/8 bewolkt",32320,2025,163,20,99
